position,pace,shooting,passing,dribbling,defending,physical,gkDiving,gkHandling,gkKicking,gkReflexes,gkPositioning,ovr
CM,57.12,70.0,71.54,67.28,66.32,53.0,13.77,13.44,13.84,14.34,12.99,74.72
RW,78.65,68.68,72.88,67.57,45.61,58.62,15.44,6.0,15.48,12.1,15.27,78.36
RB,68.68,46.79,71.96,65.17,47.91,46.03,11.27,15.52,13.21,6.76,17.55,75.86
CM,60.79,70.22,69.86,70.13,55.3,55.47,13.49,11.92,11.88,3.09,10.12,78.2
GK,45.69,16.3,64.67,37.72,33.89,41.72,89.08,70.29,72.49,85.35,63.02,81.56
CM,63.03,39.99,62.87,66.9,59.12,71.77,13.49,14.5,22.07,12.05,14.81,78.07
CDM,64.63,52.81,89.63,69.07,60.19,68.19,15.89,8.46,7.44,9.34,12.27,80.05
RB,60.97,37.67,63.42,79.36,87.21,59.34,13.63,1.01,12.53,12.22,13.59,80.26
CDM,55.61,72.14,66.69,61.92,62.65,60.23,15.4,5.76,13.91,12.84,5.87,78.42
CB,51.79,29.72,61.61,45.83,66.93,64.5,13.41,13.15,17.02,13.45,20.3,77.26
GK,48.85,25.86,68.02,36.02,20.91,60.29,66.18,57.89,54.73,81.75,58.91,75.91
CB,59.1,45.18,52.62,43.07,80.97,80.66,16.16,9.81,20.92,3.51,9.8,81.51
RW,78.1,68.22,53.93,56.75,56.84,60.93,2.99,14.11,12.26,8.57,8.87,79.29
CAM,77.59,61.05,68.6,78.04,32.5,62.11,14.11,17.49,11.13,9.57,12.5,79.99
CDM,61.21,51.88,71.82,65.74,66.93,79.03,13.32,12.23,9.47,14.43,4.05,81.67
RW,73.43,70.7,60.46,68.39,52.5,68.65,5.34,12.48,3.8,8.5,5.46,83.4
LW,81.47,55.34,77.39,78.04,43.05,69.84,16.03,11.52,16.41,8.88,5.93,81.21
RB,88.77,61.56,87.64,70.13,54.47,59.59,8.75,17.84,7.93,12.01,9.47,85.69
CB,66.11,38.85,49.65,36.27,82.76,66.85,11.05,13.7,13.65,8.9,10.36,79.44
LB,79.09,41.59,49.52,74.48,67.4,54.49,7.9,11.5,5.99,11.73,16.45,79.48
CAM,62.32,55.47,79.03,90.68,39.02,54.24,11.52,14.06,8.81,4.98,8.89,82.36
CAM,85.32,80.79,64.43,84.49,37.63,58.17,14.36,6.29,8.45,19.86,17.56,82.42
RB,59.11,50.09,68.55,59.97,80.58,48.63,13.95,9.45,17.93,2.88,9.54,77.12
CAM,73.33,85.93,72.85,70.35,15.91,65.32,5.25,9.63,16.74,11.59,17.36,83.75
RW,88.7,81.13,69.99,87.07,30.22,49.58,7.17,10.92,1.0,3.83,10.61,84.14
CM,70.18,62.64,71.41,60.74,49.55,73.24,22.28,10.94,14.33,6.72,19.98,77.84
GK,52.43,8.51,40.45,33.91,47.23,67.8,86.86,71.95,67.01,84.64,71.06,83.17
LB,70.92,47.96,92.29,76.17,49.51,56.67,12.46,3.44,17.38,14.24,13.9,80.02
CDM,63.55,40.76,75.23,71.28,90.55,84.9,18.17,14.17,13.01,12.79,17.18,86.53
CDM,56.32,55.21,77.08,58.97,90.01,64.99,11.38,12.74,11.37,6.77,9.28,83.42
CAM,68.45,74.84,90.72,85.14,28.2,66.56,12.77,1.51,14.06,10.52,7.38,87.82
CM,85.57,68.45,71.76,60.61,76.94,59.73,16.13,14.73,12.83,13.82,10.63,80.98
GK,46.42,23.52,40.87,24.37,38.56,62.27,86.94,63.31,52.63,84.49,84.63,83.25
LW,73.15,69.81,78.86,72.71,59.32,62.41,11.17,11.69,20.15,5.92,10.33,84.83
ST,72.64,81.45,59.92,59.49,45.95,79.14,21.92,12.02,10.65,14.24,16.96,85.97
CM,73.67,62.44,75.31,72.92,50.82,63.43,9.32,12.04,12.52,11.16,17.93,80.51
CAM,76.05,68.46,89.62,80.21,57.07,59.21,10.59,12.94,14.94,16.93,15.76,85.38
CDM,62.36,51.52,75.5,48.12,70.23,73.44,4.83,7.29,10.53,14.85,6.98,82.44
GK,48.29,29.09,53.61,36.76,43.71,75.65,73.51,66.65,42.26,67.26,56.37,73.54
RW,95.02,75.77,80.08,76.25,26.55,49.47,7.32,12.44,7.73,15.8,11.01,86.36
CDM,59.94,55.88,72.28,62.77,65.48,63.47,9.09,11.17,16.79,2.5,9.25,80.29
CM,63.25,53.98,66.83,84.81,70.19,66.5,7.42,15.54,15.17,5.65,8.99,81.76
CAM,64.09,68.34,84.22,66.23,32.32,70.58,13.13,20.56,13.13,13.3,13.92,80.41
LB,92.73,59.4,58.61,61.93,87.4,51.49,14.68,4.57,15.96,7.31,16.53,83.44
RB,65.31,46.87,67.99,66.45,65.3,66.46,13.41,10.83,18.83,12.03,9.28,79.23
ST,73.63,87.28,59.94,81.87,23.88,56.55,16.22,24.17,12.65,3.32,9.03,83.21
CAM,77.86,60.56,79.2,84.97,47.69,57.04,11.01,12.1,12.92,16.21,5.35,82.92
LB,74.2,37.85,55.72,69.04,50.28,62.0,11.97,7.88,4.24,6.9,15.95,74.73
GK,23.53,28.22,50.27,25.05,37.61,53.56,85.07,64.63,68.25,64.41,61.29,78.91
CM,68.63,61.59,78.52,69.63,40.25,66.86,9.67,16.14,16.37,6.86,11.62,77.65
CB,58.04,46.65,57.24,19.62,92.49,68.61,16.06,11.12,12.78,14.76,19.57,82.23
CM,77.4,41.95,67.13,73.92,61.43,74.36,10.37,14.19,11.96,12.86,12.54,79.08
CAM,70.65,70.2,67.85,63.78,49.32,77.89,15.99,13.32,17.97,10.91,6.37,82.3
CAM,74.16,61.4,65.21,67.12,41.34,49.94,9.63,11.21,13.51,7.44,18.76,78.13
CM,67.36,67.75,69.7,80.6,60.79,69.0,11.88,9.67,18.26,16.38,24.62,82.45
CB,56.62,42.76,67.7,36.23,72.74,65.32,14.03,6.55,9.93,9.11,12.49,82.21
ST,81.11,73.57,59.63,75.62,28.68,74.26,15.39,6.76,14.15,16.05,8.59,86.16
ST,83.69,63.63,47.79,75.1,42.38,70.42,11.46,24.89,14.6,13.01,9.84,81.11
CDM,57.61,52.3,68.93,63.98,69.27,75.33,2.24,13.6,11.6,12.39,14.86,79.36
CM,56.52,58.26,85.33,81.06,63.24,58.26,10.01,15.14,9.49,12.31,7.43,80.92
CAM,65.73,52.86,81.92,86.38,36.11,51.93,2.91,18.42,12.79,2.77,11.05,85.56
CM,59.68,58.24,76.74,64.02,63.94,66.09,15.26,13.09,5.41,11.91,8.67,82.24
CB,55.65,43.86,64.32,47.18,83.6,74.78,19.38,16.37,15.04,20.44,13.68,83.15
LB,87.45,46.1,73.48,61.24,50.07,70.84,14.2,18.17,10.78,17.36,9.13,79.67
LB,76.58,38.86,81.02,27.55,59.57,68.36,17.5,8.78,14.61,12.37,2.04,79.82
ST,92.87,75.94,56.62,62.11,39.98,60.71,9.7,12.99,14.7,16.19,7.5,84.77
ST,79.13,99.0,64.82,82.52,49.79,94.64,16.61,4.36,13.58,10.29,7.48,94.21
LW,71.64,65.55,65.84,95.26,37.03,55.03,18.4,11.07,6.03,6.95,15.97,82.16
RB,76.18,44.45,44.4,66.19,87.57,78.23,11.19,15.57,13.82,7.42,17.0,81.67
CM,67.27,46.74,50.52,73.7,40.02,60.35,9.13,11.12,18.31,7.25,9.03,71.57
ST,82.74,87.22,59.18,67.33,34.59,80.93,15.48,8.3,8.25,11.24,12.18,84.72
CAM,86.33,65.79,88.29,68.73,50.79,64.77,11.83,11.15,22.32,12.43,9.72,85.81
CB,57.19,27.64,84.04,38.57,77.98,90.25,7.35,13.51,11.97,17.54,16.31,85.01
ST,72.88,83.52,57.66,62.35,44.79,66.93,10.95,3.56,15.78,12.29,9.68,81.13
LB,89.71,57.13,73.87,80.82,60.05,59.88,10.93,13.55,12.33,12.56,8.13,82.69
CB,74.38,37.9,63.53,38.71,74.1,70.71,9.11,16.32,10.65,6.67,19.75,80.68
ST,83.67,93.59,53.08,57.13,30.37,59.56,16.1,16.21,2.94,9.92,13.39,81.92
CDM,79.48,44.63,65.46,35.07,84.9,69.2,11.88,13.31,10.61,6.39,9.95,80.87
RB,79.95,31.3,68.14,61.92,57.95,54.73,17.84,17.46,8.84,10.1,8.36,80.13
ST,68.3,76.02,34.64,73.42,21.42,70.95,8.0,11.13,2.27,11.72,13.63,79.28
CAM,79.96,75.24,78.27,65.85,48.74,64.92,8.5,17.79,7.17,10.13,12.29,82.54
RW,66.31,71.01,68.79,83.94,51.27,58.18,8.36,11.8,10.26,11.96,11.69,82.54
CB,73.11,31.1,68.9,63.56,63.64,71.84,9.29,15.78,12.77,3.32,6.86,79.02
ST,65.06,70.15,58.58,55.87,32.13,97.25,8.11,12.5,14.21,11.81,13.79,82.44
CAM,81.56,78.61,85.67,83.48,31.2,39.02,12.32,8.53,9.09,15.28,15.54,85.97
CB,71.55,39.3,60.67,43.73,71.47,52.61,11.56,18.51,2.26,14.18,3.22,77.71
LW,86.93,73.1,63.74,96.69,24.57,37.77,10.06,14.86,11.17,7.42,9.19,87.09
RB,79.81,39.79,57.72,85.09,81.66,65.47,3.95,11.68,8.33,11.39,11.19,83.51
RW,74.28,62.47,58.74,87.12,56.69,77.32,7.53,10.48,6.07,10.93,14.16,84.29
CM,93.46,73.89,60.58,67.49,46.75,74.49,10.95,8.75,11.94,12.58,11.37,81.63
LW,77.87,91.29,64.0,73.86,31.32,52.36,11.19,13.31,7.55,4.22,14.18,84.49
CB,59.47,34.62,52.07,47.58,62.51,67.83,17.28,12.54,17.73,9.92,11.11,76.57
GK,38.38,12.75,48.49,34.78,41.87,72.68,60.8,92.6,75.47,81.81,63.98,83.02
ST,77.19,84.55,61.85,79.55,25.21,74.94,16.12,10.72,10.63,7.24,11.75,84.64
LB,69.46,54.41,74.38,60.0,84.24,67.87,11.6,8.42,13.64,10.63,11.55,81.69
ST,77.71,74.31,71.02,65.47,40.06,65.68,11.44,12.1,12.78,8.67,19.71,82.74
CB,43.03,19.7,38.5,35.02,83.21,84.62,24.2,16.16,13.34,19.63,8.28,80.69
CAM,71.47,89.25,67.51,57.21,56.16,74.95,14.17,12.75,10.86,20.3,14.94,83.11
LW,80.33,70.53,70.93,79.95,58.0,52.9,8.27,8.64,9.92,13.28,14.55,84.88
ST,62.49,99.0,63.06,69.66,20.48,80.16,16.61,10.4,26.36,5.78,11.18,87.83
CAM,75.37,51.34,76.58,69.2,46.9,71.99,14.1,12.24,9.45,12.72,7.6,80.0
CDM,63.67,52.91,71.56,74.56,43.99,83.73,14.56,9.54,15.76,9.66,6.04,79.11
RW,82.82,73.64,74.52,71.93,34.43,68.25,15.02,14.56,16.99,3.88,7.74,83.48
CB,57.77,24.32,45.83,45.08,88.44,57.21,12.41,12.91,12.6,14.82,13.39,77.6
GK,39.82,1.0,57.42,34.19,48.0,87.94,70.13,57.62,46.52,52.21,77.15,75.02
CDM,68.64,61.4,58.55,67.84,85.86,54.4,14.9,7.32,7.6,16.43,18.8,80.68
CDM,73.7,59.57,62.36,75.78,70.92,80.67,16.3,25.39,9.75,7.99,10.69,82.18
CB,58.09,39.6,44.86,48.01,78.9,89.91,7.61,8.89,7.56,15.74,20.92,82.92
CB,60.03,59.46,70.64,47.54,55.59,71.23,6.92,9.77,18.16,13.95,15.08,74.96
ST,77.09,89.18,53.54,79.73,38.58,73.03,9.6,19.02,13.11,8.0,10.25,87.38
CB,52.52,59.28,58.41,20.64,75.04,55.26,6.35,12.78,15.51,3.96,14.42,75.49
CM,68.1,61.06,77.99,64.63,70.54,59.7,7.71,13.48,9.52,6.92,9.91,80.44
GK,47.19,27.0,58.55,27.8,40.34,60.78,56.52,76.18,66.87,74.11,70.12,81.8
GK,53.38,21.35,40.15,45.53,44.05,58.77,65.91,68.14,63.52,99.0,61.04,81.81
RB,79.44,46.0,74.0,64.21,63.28,69.1,15.28,7.69,10.37,5.72,3.81,79.74
GK,48.49,25.61,55.1,37.96,33.97,70.55,80.75,96.22,63.28,63.87,61.43,82.43
CM,75.58,65.0,76.15,62.62,57.36,69.37,6.78,11.73,11.49,16.11,10.84,80.95
RW,83.98,65.34,84.54,59.7,22.78,38.09,9.86,7.51,12.6,11.1,13.72,79.04
ST,78.88,94.63,56.39,54.25,29.69,65.97,15.69,8.86,16.46,18.75,11.22,81.22
LB,76.41,53.49,65.84,59.11,55.52,59.58,13.5,13.68,7.92,2.59,13.37,78.45
CAM,82.34,68.55,69.7,70.47,54.71,53.0,16.67,10.12,14.1,16.9,8.71,78.9
LB,62.41,38.91,74.67,37.4,73.92,76.16,17.01,17.3,13.27,2.57,18.2,79.69
ST,60.18,91.36,50.75,84.02,27.57,73.85,10.6,7.78,14.94,12.52,1.8,86.25
RW,81.3,73.33,70.27,85.74,38.38,39.51,11.56,7.72,11.02,7.48,17.01,85.67
CAM,66.88,56.97,66.34,82.16,39.21,65.02,13.17,11.63,13.91,10.82,15.42,80.6
LB,51.8,45.23,75.67,64.7,66.12,58.36,7.14,10.26,12.93,12.83,13.63,77.01
RW,71.64,75.99,61.5,94.58,42.93,63.33,13.62,13.85,6.44,15.26,11.93,84.37
ST,70.68,95.0,46.52,61.85,28.7,83.35,18.86,13.46,12.7,4.47,8.02,85.33
LW,75.03,71.46,65.34,87.62,25.33,65.58,12.3,5.29,11.2,10.34,15.14,83.18
ST,81.43,69.82,54.17,73.96,46.26,75.49,11.87,12.68,16.34,9.82,17.15,83.78
RW,75.24,68.83,53.34,71.96,43.73,57.56,10.31,10.39,13.57,12.15,4.3,79.1
CAM,88.53,69.27,68.12,58.88,40.55,37.04,14.47,18.97,16.01,11.59,16.37,79.06
CAM,56.0,59.83,66.49,74.66,25.29,47.2,11.38,14.2,11.79,15.54,16.91,77.55
ST,75.75,79.7,58.82,61.36,34.41,66.68,10.16,13.75,13.22,9.47,15.28,79.99
CAM,74.35,80.84,69.21,76.58,42.79,56.65,10.53,13.36,12.29,11.76,11.97,80.41
GK,44.33,21.06,34.11,48.47,52.7,82.24,73.71,72.54,71.19,70.3,62.04,84.18
RB,85.06,46.27,70.47,52.04,69.8,61.94,19.18,15.71,7.45,11.56,15.92,82.75
CDM,90.89,51.63,65.97,56.22,55.38,67.56,7.26,18.44,15.58,17.37,13.21,80.63
CDM,64.93,37.04,56.17,57.59,81.63,73.67,14.7,12.52,16.4,13.85,8.26,79.77
CDM,59.54,25.03,74.99,79.11,78.16,79.27,8.8,13.1,11.36,13.76,12.93,83.54
RB,65.7,58.47,55.98,81.4,72.61,68.61,14.41,10.44,6.89,17.36,7.39,82.46
ST,79.33,62.21,56.63,61.93,37.27,74.47,13.99,4.33,12.5,10.65,16.73,82.81
GK,62.44,24.02,43.25,38.19,51.69,58.79,71.08,64.2,66.48,72.81,76.41,80.79
CB,56.52,45.2,52.35,48.82,99.0,62.37,14.77,11.75,12.72,9.38,18.45,83.63
CAM,75.34,59.72,92.43,95.82,34.14,36.17,8.67,7.9,8.05,7.34,5.68,83.71
ST,85.76,68.81,63.7,70.31,42.48,68.48,12.81,17.71,18.34,9.22,15.39,84.0
CAM,65.19,49.59,67.12,60.94,44.67,60.42,12.57,10.15,15.57,13.01,10.62,78.86
LB,73.39,53.05,56.91,48.21,61.22,71.5,17.48,6.49,16.87,16.55,10.37,80.74
RW,87.9,81.55,70.43,76.66,26.21,82.21,9.66,5.27,11.72,5.24,9.0,83.89
LW,86.07,64.47,52.85,81.97,41.69,47.01,15.87,14.29,17.24,15.53,13.36,78.76
ST,67.49,76.04,66.87,76.57,40.63,67.79,15.59,8.58,5.52,18.57,15.75,82.6
CDM,77.48,54.93,50.61,55.51,75.95,81.64,11.87,15.84,3.81,14.04,7.48,78.13
CAM,75.29,68.51,74.02,91.97,42.1,47.85,13.29,15.88,9.67,7.23,11.99,81.68
CDM,57.78,57.79,63.95,74.86,77.34,88.51,6.8,9.72,12.1,16.56,10.15,85.26
RB,56.96,56.1,67.73,70.81,83.67,61.69,7.76,16.81,11.88,5.45,16.42,78.88
LB,63.26,42.56,71.86,74.79,62.07,69.66,17.88,12.91,12.71,17.1,7.81,77.15
CB,75.45,35.05,53.47,35.21,72.54,62.48,9.18,17.11,10.31,7.32,17.97,78.8
CB,53.4,51.2,56.71,37.31,71.16,70.51,16.87,7.77,12.79,19.64,19.66,78.78
LW,81.64,79.06,71.29,77.06,46.84,58.48,14.36,8.58,15.72,11.93,12.0,81.43
LW,73.35,72.93,46.35,73.2,28.59,61.93,11.98,11.89,11.79,12.08,6.47,79.28
GK,40.3,21.3,36.23,24.99,41.66,66.89,68.04,80.2,72.29,92.59,71.34,82.67
CM,70.83,54.75,65.76,69.43,62.49,63.41,14.28,11.62,17.72,10.33,16.18,76.54
CAM,78.41,66.34,68.57,78.6,39.99,49.02,16.34,18.1,9.81,11.96,14.35,80.92
RB,62.74,44.28,71.78,54.81,67.42,48.2,12.74,19.62,14.01,8.59,8.8,78.35
LW,80.02,77.27,55.37,79.56,50.41,55.3,9.97,10.46,8.29,17.14,15.04,82.64
ST,76.21,97.57,50.25,83.28,37.72,80.67,12.63,18.46,10.6,21.53,21.88,90.38
CB,75.22,55.55,58.11,51.99,91.35,51.72,9.69,3.34,12.98,14.21,17.53,84.11
RB,68.71,57.46,59.63,68.99,70.6,61.95,15.8,14.34,7.21,8.22,10.67,78.61
CAM,61.98,54.64,77.38,97.93,38.36,40.87,8.24,12.55,15.15,14.21,12.89,83.16
CDM,55.92,48.69,79.65,55.66,68.25,59.6,6.31,14.65,8.63,12.62,13.53,78.28
LB,73.97,37.07,51.56,68.64,58.67,56.34,18.21,6.47,13.13,10.92,4.11,75.4
CB,58.72,43.4,65.62,45.31,72.15,51.58,9.21,15.51,19.63,13.99,15.72,74.25
CM,74.53,69.57,86.03,77.84,46.88,66.68,9.0,1.72,16.2,14.79,15.55,82.08
GK,59.61,3.99,57.5,31.74,38.37,59.34,60.01,55.45,54.96,64.83,77.27,77.87
CAM,75.79,62.27,69.93,76.74,51.74,73.62,2.71,12.06,13.31,8.09,15.61,83.27
CAM,72.0,80.08,74.52,87.87,46.13,49.98,16.7,16.86,15.18,15.47,5.95,83.65
LB,57.07,40.5,66.37,74.71,73.95,51.31,19.83,8.18,7.84,14.79,11.66,77.97
CM,62.06,88.5,77.49,76.39,69.79,62.92,11.07,14.78,17.05,16.3,8.1,85.45
CB,58.21,53.68,74.62,48.46,72.24,68.95,8.33,16.06,10.96,17.34,2.58,78.93
ST,62.91,81.12,57.75,80.41,53.75,62.83,2.18,8.07,10.54,7.55,12.88,81.85
CAM,69.94,79.73,76.28,68.1,31.1,67.82,12.54,15.97,9.49,15.72,10.31,82.77
CAM,56.62,70.79,85.41,75.55,29.04,59.5,6.38,7.93,10.22,13.12,12.69,82.91
CAM,69.25,72.8,75.57,68.99,45.4,62.61,16.55,16.86,14.58,4.76,15.76,80.7
GK,40.28,23.99,52.5,45.7,41.63,63.94,84.1,56.63,84.62,55.88,75.17,82.97
ST,77.89,82.92,70.02,53.87,36.33,91.63,7.54,13.91,12.62,12.86,12.63,89.58
GK,31.18,20.14,56.55,42.93,37.83,49.5,93.65,54.22,63.92,89.45,82.07,83.22
RW,85.37,78.04,73.88,76.27,33.92,53.56,14.98,15.56,10.93,9.87,11.93,84.31
CDM,65.71,58.16,71.65,42.71,76.32,96.63,12.2,11.16,9.41,17.1,15.81,82.65
CM,59.83,65.2,56.65,65.5,62.43,67.36,13.77,8.89,7.3,5.65,5.05,76.12
CDM,57.74,33.48,59.97,54.86,58.67,75.13,12.5,16.1,10.05,5.27,6.09,77.47
CAM,66.3,68.3,89.86,76.2,42.1,57.67,14.61,12.96,9.87,16.16,10.63,82.81
CB,59.21,30.15,61.77,51.49,66.06,77.87,15.04,3.75,9.29,16.08,7.56,78.55
CB,62.16,54.51,44.94,62.44,70.4,83.54,12.56,19.21,9.92,12.82,9.68,81.94
RW,92.42,68.14,51.75,78.57,45.31,63.96,20.27,12.18,10.55,7.41,15.57,84.54
RW,91.84,75.42,63.78,60.94,29.67,58.56,14.8,9.73,13.22,11.15,9.82,81.69
CDM,56.42,61.49,63.25,68.42,57.32,81.79,14.13,17.94,15.67,12.32,14.06,81.02
CB,51.31,23.87,54.34,42.32,56.01,63.03,8.16,20.87,11.95,9.1,16.51,72.62
CAM,69.61,61.78,92.83,91.39,51.6,44.97,13.5,19.98,16.11,13.97,16.97,84.35
RB,84.94,55.96,70.43,58.05,74.16,75.24,11.97,11.16,8.42,15.87,5.44,82.43
ST,65.24,78.53,66.94,87.88,53.67,75.03,7.95,7.39,11.75,7.86,12.64,85.82
GK,29.28,22.25,52.93,42.88,15.81,81.42,79.44,79.4,77.5,68.02,93.25,85.79
CM,59.36,71.7,69.99,65.92,53.96,51.6,8.02,11.96,14.31,13.28,14.08,78.21
LB,68.25,46.52,58.8,47.7,70.84,74.48,11.77,10.25,13.46,10.79,11.25,80.92
RB,75.14,43.68,55.72,49.68,65.61,54.4,9.19,9.35,15.61,17.12,13.23,77.75
LB,79.58,39.85,58.04,56.11,69.33,60.99,14.43,8.21,14.73,9.15,15.47,80.57
CM,69.03,54.6,87.45,59.8,68.26,56.48,18.35,11.01,12.54,14.82,14.59,79.13
GK,48.04,22.28,54.28,36.09,36.1,73.96,81.41,69.03,78.34,61.97,73.21,80.93
LW,97.75,67.83,72.09,76.35,38.42,61.19,13.76,15.56,11.65,12.15,7.98,87.17
GK,43.59,8.15,46.16,45.36,47.37,57.86,71.75,65.68,87.94,64.58,62.63,78.44
CB,76.14,50.93,46.94,48.57,83.27,70.27,12.66,12.49,13.61,7.96,10.14,85.55
CAM,72.41,80.2,76.8,71.07,17.87,57.07,6.77,10.02,11.89,13.56,8.8,80.08
LB,73.09,32.53,56.9,71.55,71.98,76.02,15.43,6.13,11.53,16.42,8.29,78.37
CB,65.41,5.37,61.32,31.03,66.72,77.91,12.61,8.88,22.85,15.01,16.69,79.98
CB,65.73,50.44,52.0,44.18,67.33,70.65,13.07,16.61,17.49,12.81,7.8,79.57
ST,73.4,82.63,61.95,67.22,41.69,61.63,13.64,14.38,4.57,12.77,8.58,79.97
LB,77.46,47.45,71.45,58.14,71.19,71.95,13.28,8.72,12.96,15.82,7.58,82.93
LW,71.97,72.24,60.23,84.33,36.27,56.1,9.66,15.35,10.84,13.1,13.93,81.62
CDM,62.64,40.31,75.31,76.73,56.78,81.6,11.69,8.38,15.69,10.37,5.07,81.45
CM,62.12,34.04,80.07,69.51,80.62,70.1,17.21,14.14,15.0,13.85,7.3,80.23
CB,52.63,60.44,58.21,55.01,93.43,76.94,19.54,14.66,10.41,7.57,29.99,83.27
LB,61.83,56.91,74.77,64.05,90.28,68.68,15.0,13.71,10.61,16.35,12.44,84.89
GK,46.63,22.41,45.44,29.47,40.73,76.28,99.0,56.18,58.83,76.5,60.26,80.72
GK,33.9,22.09,50.6,41.5,42.59,66.85,64.85,90.07,61.49,73.75,74.28,81.04
CDM,49.85,64.17,66.39,59.19,77.39,69.53,8.17,15.7,14.32,8.39,19.31,80.4
ST,76.38,64.0,62.54,65.72,36.7,74.11,11.98,14.07,10.04,10.2,14.86,80.66
RB,62.9,45.17,79.06,67.41,72.45,68.8,10.39,4.98,16.72,8.88,8.56,79.36
LW,95.4,69.05,74.51,78.46,44.54,66.96,19.63,13.77,12.9,8.28,6.77,85.92
ST,78.42,87.39,66.23,70.27,31.52,72.27,7.87,16.32,14.02,12.47,7.27,86.65
LB,56.84,48.44,62.54,52.17,60.93,65.8,18.55,14.43,17.12,16.55,8.33,73.35
RB,67.55,43.9,61.56,77.38,67.2,64.22,18.98,5.87,5.3,12.84,6.79,76.45
GK,40.72,33.23,28.92,32.6,24.67,81.93,71.13,59.87,56.24,84.43,66.31,78.15
ST,78.47,76.8,61.89,75.36,27.35,67.79,10.74,13.78,12.02,10.88,7.85,82.21
RW,94.23,63.7,65.11,75.32,48.78,47.56,17.55,8.41,15.78,16.4,8.42,82.39
RW,70.91,65.68,69.58,64.45,15.75,69.3,11.97,12.23,13.21,20.98,10.58,78.39
CB,55.78,33.0,67.31,40.22,75.5,84.91,21.08,13.02,13.72,15.81,15.13,81.66
CB,60.43,43.6,48.74,53.12,86.12,63.67,15.99,5.04,17.17,12.2,2.99,82.78
ST,73.18,88.53,52.02,82.07,33.26,78.15,16.38,1.83,9.99,13.52,14.93,88.14
CB,66.84,34.07,48.55,51.93,86.75,87.49,18.96,13.01,9.2,16.46,17.94,85.8
CM,74.29,60.32,51.29,64.66,49.95,72.36,8.47,12.57,15.27,16.09,9.84,75.97
LW,81.09,85.4,74.55,87.07,54.17,73.16,15.36,8.9,14.98,8.63,8.31,87.76
CDM,71.23,58.46,70.85,56.66,73.21,88.35,10.03,16.69,13.34,12.8,14.49,83.35
ST,74.49,81.68,62.51,62.24,48.11,78.05,14.16,15.72,5.8,17.43,10.56,81.97
ST,81.62,84.77,59.37,68.14,57.76,69.57,14.15,10.8,15.03,16.9,12.35,84.46
RW,80.83,81.61,64.34,59.59,20.1,62.09,12.22,10.11,10.77,21.42,17.09,81.58
ST,63.75,78.11,51.52,78.07,31.44,70.4,11.06,14.74,17.67,20.23,14.8,81.48
GK,37.06,24.31,50.94,38.13,31.86,66.03,77.69,70.62,61.82,69.16,83.61,83.04
LW,83.44,62.74,62.57,81.21,32.38,57.05,14.61,4.42,8.18,8.23,12.57,81.62
RW,81.63,84.65,41.14,71.8,35.01,54.64,11.84,13.8,10.94,13.98,10.91,81.82
ST,89.37,64.73,57.35,87.71,24.26,58.47,14.2,11.77,11.0,4.28,5.79,82.08
CB,55.97,24.29,61.57,77.17,74.56,77.26,6.82,13.41,8.75,9.55,14.09,81.41
CDM,88.19,50.93,63.42,77.9,68.56,83.79,13.89,13.11,15.21,10.22,10.59,80.79
ST,70.2,85.03,70.65,73.18,28.16,89.37,16.06,14.7,15.6,9.76,14.16,84.41
LW,91.32,67.58,75.49,71.27,34.05,54.76,8.47,9.61,9.91,12.58,16.13,85.43
CB,68.01,28.74,66.79,40.59,84.24,57.59,9.53,13.77,9.97,12.38,16.54,79.92
LW,89.69,81.6,64.79,75.7,36.56,63.73,13.43,12.04,6.26,13.55,14.43,86.48
ST,85.2,83.27,66.49,54.93,42.92,76.15,17.71,10.33,8.52,11.08,1.17,84.59
CDM,65.76,67.23,92.19,49.75,69.62,82.31,8.89,9.44,7.19,9.86,5.97,83.1
LW,85.98,65.49,84.81,80.47,44.06,63.52,9.86,12.48,14.43,15.82,11.72,85.08
GK,59.07,20.04,45.14,32.05,36.23,51.88,85.8,60.19,44.12,67.61,65.74,78.16
CAM,75.11,72.56,90.42,81.89,38.05,48.75,9.56,9.58,9.99,10.16,11.64,83.24
LB,74.68,38.52,75.33,80.3,67.3,90.79,14.22,6.73,13.43,15.71,14.76,83.82
CAM,77.57,66.9,78.44,76.48,57.27,63.3,11.51,10.78,8.7,16.94,8.52,82.18
LW,85.32,64.06,68.23,87.69,34.94,49.41,15.12,11.22,14.33,8.3,7.75,86.61
CM,68.45,53.08,85.44,63.56,66.18,58.97,11.73,14.34,9.32,12.97,9.95,79.84
RW,83.6,68.11,80.02,99.0,38.1,69.2,10.32,13.22,7.42,7.4,6.91,89.31
RB,71.86,35.28,67.52,55.55,72.88,64.93,3.79,15.31,12.33,13.16,17.77,78.59
RW,98.03,72.9,69.59,82.04,41.75,63.45,14.21,7.79,11.43,19.12,12.78,85.27
CM,63.89,70.36,91.18,70.94,68.91,74.62,12.56,7.55,11.8,12.11,9.34,81.29
CAM,62.79,79.1,89.11,76.44,21.95,57.26,10.35,18.95,14.81,3.25,11.41,80.36
LB,84.59,62.24,76.33,83.05,74.76,50.28,9.66,14.69,18.37,10.87,18.79,83.93
RB,79.5,50.53,80.43,74.83,65.59,45.14,9.53,14.01,9.62,22.77,14.05,80.83
CAM,89.64,81.07,99.0,79.7,36.81,44.99,13.01,7.67,13.84,13.66,7.76,86.87
